Date;Lights [kWh];Total [kWh]
23/8/2022 0:00;36,60930944;66,140585
24/8/2022 0:00;35,45728639;65,34886472
25/8/2022 0:00;34,01155917;65,26461917
26/8/2022 0:00;35,47767972;65,26093639
27/8/2022 0:00;26,17551417;47,75517361
28/8/2022 0:00;24,2817875;43,12550472
29/8/2022 0:00;39,28809;70,80687972
30/8/2022 0:00;40,05616444;72,28914944
31/8/2022 0:00;41,14122222;74,90537056
1/9/2022 0:00;37,36795555;71,11592167
2/9/2022 0:00;39,09269056;72,84008194
3/9/2022 0:00;26,72833278;43,20635306
4/9/2022 0:00;26,3612075;42,12447083
5/9/2022 0:00;40,99567778;75,95557139
6/9/2022 0:00;42,34064083;72,12659028
7/9/2022 0:00;40,9708;74,76998722
8/9/2022 0:00;37,67141194;74,18004305
9/9/2022 0:00;38,51689611;67,98402111
10/9/2022 0:00;27,30476778;45,30467695
11/9/2022 0:00;27,11166361;42,92704944
12/9/2022 0:00;39,74459444;73,78206472
13/9/2022 0:00;37,80197195;70,92096361
14/9/2022 0:00;39,69704139;75,68667056
15/9/2022 0:00;37,66053361;71,18228583
16/9/2022 0:00;35,78457805;68,22131445
17/9/2022 0:00;24,45345083;41,11760222
18/9/2022 0:00;24,06756139;40,08692417
19/9/2022 0:00;40,52793583;79,01931639
20/9/2022 0:00;38,63761139;76,13240972
21/9/2022 0:00;39,74237889;74,53127889
22/9/2022 0:00;38,67588444;72,51487722
23/9/2022 0:00;39,84659167;73,10799639
24/9/2022 0:00;26,992035;45,12948
25/9/2022 0:00;25,33047833;40,89517389
26/9/2022 0:00;43,272085;79,68506111
27/9/2022 0:00;43,31912333;80,90151055
28/9/2022 0:00;40,32925389;69,99767889
29/9/2022 0:00;43,86836;78,76711389
30/9/2022 0:00;41,37056278;78,14656695
1/10/2022 0:00;26,414875;49,65021917
2/10/2022 0:00;26,38814361;49,74254111
3/10/2022 0:00;37,47337445;74,02299278
4/10/2022 0:00;35,63801861;70,87915472
5/10/2022 0:00;42,05858722;73,74375583
6/10/2022 0:00;40,79830917;75,22085556
7/10/2022 0:00;39,70852278;74,71058556
8/10/2022 0:00;27,36984472;43,29173861
9/10/2022 0:00;25,34817139;41,01739583
10/10/2022 0:00;39,57369056;71,34009361
11/10/2022 0:00;40,41325945;69,61931945
12/10/2022 0:00;40,53515917;69,77528889
13/10/2022 0:00;38,84820861;74,76299667
14/10/2022 0:00;39,59892417;64,352755
15/10/2022 0:00;28,45653528;42,79168639
16/10/2022 0:00;28,29074222;42,24931611
17/10/2022 0:00;41,86418861;69,22493028
18/10/2022 0:00;40,15086861;68,08769222
19/10/2022 0:00;37,14609083;71,74205639
20/10/2022 0:00;40,22023139;72,54744667
21/10/2022 0:00;41,88802556;72,40912306
22/10/2022 0:00;28,72086667;46,1196225
23/10/2022 0:00;27,88421778;41,78456944
24/10/2022 0:00;42,98709055;68,62806472
25/10/2022 0:00;41,44769389;70,75056611
26/10/2022 0:00;40,55854167;64,72190945
27/10/2022 0:00;42,21700694;71,40691972
28/10/2022 0:00;25,98843945;40,75413917
29/10/2022 0:00;26,0067625;40,79162833
30/10/2022 0:00;26,05854805;40,85233333
30/10/2022 23:00;40,42591778;64,83669833
31/10/2022 23:00;38,80329778;63,12127222
1/11/2022 23:00;44,43850889;77,28487417
2/11/2022 23:00;37,80626583;61,6615125
3/11/2022 23:00;40,10804222;63,41101944
4/11/2022 23:00;28,98934528;49,73412111
5/11/2022 23:00;28,79895139;52,06704889
6/11/2022 23:00;41,63613361;75,10588028
7/11/2022 23:00;40,02593639;68,21645917
8/11/2022 23:00;40,02210167;64,84755111
9/11/2022 23:00;41,04142194;66,39279389
10/11/2022 23:00;36,085015;63,53065139
11/11/2022 23:00;25,72144944;40,58644306
12/11/2022 23:00;25,31460528;39,72144278
13/11/2022 23:00;38,21916695;64,29073361
14/11/2022 23:00;37,45257333;63,7813975
15/11/2022 23:00;36,84221222;60,07894972
16/11/2022 23:00;35,57510194;58,61642944
17/11/2022 23:00;33,10665722;55,39596667
18/11/2022 23:00;26,28576167;40,69646361
19/11/2022 23:00;25,70463694;39,48924111
20/11/2022 23:00;36,3884475;63,68579639
21/11/2022 23:00;39,58149639;65,83312
22/11/2022 23:00;39,48901806;68,01322583
23/11/2022 23:00;36,17652611;62,19188833
24/11/2022 23:00;42,20549861;72,442315
25/11/2022 23:00;28,54227028;47,28557583
26/11/2022 23:00;28,49721694;43,36115917
27/11/2022 23:00;39,01158056;69,02577
28/11/2022 23:00;39,43638861;70,64480722
29/11/2022 23:00;37,49716083;66,43961722
30/11/2022 23:00;36,09346361;64,61827361
1/12/2022 23:00;33,38526056;61,50908583
2/12/2022 23:00;27,31393917;46,63549306
3/12/2022 23:00;29,26254056;51,64137
4/12/2022 23:00;38,96786222;69,73610111
5/12/2022 23:00;39,95459444;65,01996139
6/12/2022 23:00;37,92662611;60,60974778
7/12/2022 23:00;37,95570639;63,63298083
8/12/2022 23:00;39,50456833;67,89573722
9/12/2022 23:00;27,35397861;45,80046778
10/12/2022 23:00;27,56448083;42,05271278
11/12/2022 23:00;41,42904028;69,44290056
12/12/2022 23:00;39,39108861;68,03884555
13/12/2022 23:00;41,16654806;67,42244639
14/12/2022 23:00;38,102095;63,17763833
15/12/2022 23:00;39,846225;64,42538139
16/12/2022 23:00;29,15447361;42,53688389
17/12/2022 23:00;29,18022778;42,37351056
18/12/2022 23:00;37,56518917;61,44066944
19/12/2022 23:00;37,28944139;66,13499833
20/12/2022 23:00;38,72709194;61,45517972
21/12/2022 23:00;35,90887222;65,06794139
22/12/2022 23:00;34,46456722;57,91065944
23/12/2022 23:00;26,00526861;40,69411083
24/12/2022 23:00;26,05957028;40,73306472
25/12/2022 23:00;26,15560694;40,89861972
26/12/2022 23:00;33,03427694;53,05133667
27/12/2022 23:00;35,53879055;56,071815
28/12/2022 23:00;32,18555667;52,10774167
29/12/2022 23:00;26,06400056;40,76151222
